Numero;Caso;Mes;Resolucion;Comunicación;Categoria;Subcategoria;Segmento;Equipo_Resolutor;Canal;Movimiento;Monto;Cliente;Productos_act;Sexo
1;38811952;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SAN FERNANDO;SUC;COM.SERV.PREFER (800084461040);$ 414,06;Eminent;4;F
2;38557097;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;PLAZA DE MAYO;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Negocios;2;M
3;38286925;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;JUJUY;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;0;M
4;38774435;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CASTELAR;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;1;F
5;38625200;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;CASA MATRIZ TORRE;SUC;COM.SERV.EMINENT (400000315021);$ 3.223,05;Eminent;3;F
6;38283852;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;Parque Patricios;SUC;GASTOS DE SERVICIO EMI;$ 6.446,28;Negocios;4;F
7;38159239;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Prefer;2;M
8;38628376;Mayo;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Comisiones y Morosidad;SUC;SERVICIO CUENTA PREFER;$ 1.363,73;Masivo;0;M
9;38375492;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;CASA MATRIZ TORRE;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;1;F
10;38323796;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;TIGRE;SUC;GASTOS DE SERVICIO EMINENT;$ 4.090,81;Eminent;3;M
11;38921297;Julio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CUTRAL CO;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;4;F
12;38390650;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Cuentas;SUC;COMISIÓN MANT DE CTA.;$ 661,00;Prefer;2;M
13;38235264;Enero;Desfavorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Alta;Cuentas;CSEDB;CARGOGESTCOBRANZA;$ 357,00;Prefer;0;M
14;38335806;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;PATERNAL I;SUC;GASTOS DE SERVICIO EMI;$ 8.181,82;Masivo;1;M
15;38161824;Noviembre;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Cuentas;SUC;COM RENOV ANUAL  1/3;$ 7.988,66;Prefer;3;F
16;38749293;Septiembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CCC;GASTOS DE SERVICIO EMI;$ 5.165,16;Masivo;4;F
17;38429510;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;PERSONAS ANSES;OUT LEAN;CSEDB;SERVICIO CUENTA TOTAL;$ 3.305,79;Eminent;2;F
18;38521509;Abril;Desfavorable al cliente;Manual;Cuentas Reclamos;Desconocimiento;Renta Media Media;Comisiones y Morosidad;SUC;COM.BANELCO O/BCO (4517690086344591);$ 155,62;Eminent;0;M
19;38802991;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Baja;CCC;CCC;COM.SERV.PREFER (800054703641);$ 6.198,35;Prefer;1;M
20;38780549;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Alta;CONCORDIA;SUC;GASTOS DE SERVICIO EMI;$ 10.330,58;Masivo;3;F
21;38179827;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 2.272,73;Masivo;4;F
22;38269865;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;CASA MATRIZ TORRE;SUC;GASTOS DE SERVICIO EMI;$ 6.446,28;Eminent;2;M
