Caso;Mes;Comunicacion;Resolucion;Categoria;Subcategoria;Segmento;Canal;Movimiento;Monto;Cliente;ProductosActivos;Sexo;AgeAntiguedad;Beneficio
1;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO CUENTA PREFER;$ 414,06;Eminent;4;F;1;100
2;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO EMINENT;$ 6.198,35;Negocios;2;M;2;200
3;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Prefer;0;M;3;300
4;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 4.545,45;Masivo;1;F;4;400
5;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;SUC;COM BANELCO;$ 3.223,05;Eminent;3;F;5;500
6;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;CARGO REPOSICION;$ 6.446,28;Negocios;4;F;6;600
7;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COM MANT CCE;$ 2.479,34;Prefer;2;M;7;700
8;Mayo;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 1.363,73;Masivo;0;M;8;800
9;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;SERVICIO EMINENT;$ 4.545,45;Eminent;1;F;9;900
10;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 4.090,81;Eminent;3;M;10;1000
11;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 4.545,45;Prefer;4;F;11;1100
12;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COM BANELCO;$ 661,00;Prefer;2;M;12;1200
13;Enero;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;CSEDB;CARGO REPOSICION;$ 357,00;Prefer;0;M;13;1300
14;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COM MANT CCE;$ 8.181,82;Masivo;1;M;14;1400
15;Noviembre;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 7.988,66;Prefer;3;F;15;1500
16;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;SERVICIO EMINENT;$ 5.165,16;Masivo;4;F;16;1600
17;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;PERSONAS ANSES;CSEDB;COMISION MANT DE CUENTA;$ 3.305,79;Eminent;2;F;17;1700
18;Abril;Manual;Desfavorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 155,62;Eminent;0;M;18;1800
19;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Baja;CCC;COM BANELCO;$ 6.198,35;Prefer;1;M;19;1900
20;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;CARGO REPOSICION;$ 10.330,58;Masivo;3;F;20;2000
21;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COM MANT CCE;$ 2.272,73;Masivo;4;F;1;100
22;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 6.446,28;Eminent;2;M;2;200
23;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CSEDB;SERVICIO EMINENT;$ 3.719,01;Eminent;0;M;3;300
24;Mayo;Manual;Desfavorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 539,48;Eminent;1;M;4;400
25;Octubre;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 2.066,12;Eminent;3;M;5;500
26;Diciembre;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;PYME Micro;SUC;COM BANELCO;$ 3,53;Prefer;4;F;6;600
